loan_status,loan_amnt,grade,home_ownership,annual_inc,age,emp_cat,ir_cat
0,15000,D,MORTGAGE,44400.0,23,0-15,13.5+
0,10000,B,OWN,3e4,32,0-15,8-11
0,10000,A,MORTGAGE,7e4,23,0-15,0-8
0,8000,C,RENT,28e3,25,0-15,13.5+
0,22000,B,MORTGAGE,5e4,22,0-15,8-11
0,6000,C,MORTGAGE,94800.0,23,0-15,13.5+
1,2500,A,OWN,12e3,21,Missing,0-8
0,13500,B,MORTGAGE,36e3,30,0-15,8-11
0,25000,B,RENT,225e3,30,0-15,11-13.5
0,10000,C,RENT,45900.0,65,0-15,Missing
0,2500,C,RENT,27200.0,26,0-15,11-13.5
0,7325,B,RENT,42e3,23,0-15,11-13.5
0,4000,B,RENT,135e3,28,0-15,11-13.5
1,10000,C,RENT,65e3,35,0-15,11-13.5
1,7750,D,RENT,24e3,24,0-15,13.5+
0,9600,B,RENT,65e3,30,0-15,11-13.5
0,14000,B,RENT,3e4,21,0-15,8-11
0,13350,B,RENT,43e3,31,15-30,11-13.5
1,15000,D,RENT,42e3,27,15-30,13.5+
1,15000,D,RENT,75e3,50,0-15,Missing
0,35000,B,MORTGAGE,168e3,25,0-15,8-11
0,9000,B,MORTGAGE,74e3,22,0-15,Missing
1,16000,B,RENT,58500.0,22,0-15,11-13.5
0,13500,B,RENT,71e3,26,0-15,11-13.5
0,24000,B,RENT,75e3,22,0-15,11-13.5
0,12000,B,RENT,6e4,26,0-15,8-11
0,14000,A,RENT,66e3,26,30-45,0-8
1,12000,C,MORTGAGE,7e4,33,0-15,Missing
0,25000,B,MORTGAGE,1e5,23,0-15,11-13.5
0,9000,B,RENT,5e4,25,0-15,11-13.5
0,13250,B,RENT,35e3,28,0-15,8-11
0,20000,C,RENT,75e3,28,0-15,11-13.5
0,3000,C,RENT,71e3,22,0-15,13.5+
0,7350,B,MORTGAGE,48e3,21,15-30,8-11
0,11500,C,RENT,36e3,30,0-15,13.5+
1,13650,B,MORTGAGE,86e3,32,15-30,11-13.5
1,10500,D,RENT,3e4,25,0-15,13.5+
0,12000,B,RENT,6e4,28,0-15,8-11
0,6000,A,RENT,34e3,27,0-15,8-11
0,11500,C,MORTGAGE,44200.0,27,15-30,13.5+
0,7000,B,MORTGAGE,82e3,26,0-15,11-13.5
0,2000,C,RENT,41e3,27,0-15,13.5+
0,11625,C,MORTGAGE,36e3,22,0-15,11-13.5
1,15075,C,RENT,35e3,31,0-15,Missing
0,5300,C,RENT,3e4,25,0-15,13.5+
0,8200,A,RENT,4e4,26,0-15,0-8
0,12000,B,MORTGAGE,105e3,25,0-15,Missing
0,8650,C,MORTGAGE,45e3,23,0-15,13.5+
0,12000,B,RENT,83e3,31,0-15,11-13.5
1,9500,B,MORTGAGE,52500.0,22,0-15,11-13.5
0,7400,C,OWN,25e3,26,0-15,Missing
0,14400,C,MORTGAGE,6e4,28,15-30,11-13.5
1,7200,A,RENT,68e3,23,0-15,0-8
0,4000,A,RENT,65e3,24,0-15,0-8
0,1500,D,MORTGAGE,144e3,24,0-15,13.5+
0,19600,B,RENT,75e3,22,0-15,11-13.5
0,2500,B,MORTGAGE,29e3,54,0-15,11-13.5
1,10000,B,RENT,7e4,22,0-15,11-13.5
0,10000,A,RENT,45e3,21,0-15,0-8
0,4225,B,MORTGAGE,55200.0,25,0-15,11-13.5
0,3500,A,MORTGAGE,61440.0,35,0-15,0-8
0,12000,A,MORTGAGE,56e3,24,15-30,Missing
0,16500,A,RENT,47e3,26,0-15,Missing
0,12000,C,RENT,71e3,29,0-15,Missing
0,10800,B,RENT,135e3,28,0-15,Missing
0,14000,B,MORTGAGE,63e3,25,0-15,11-13.5
0,6000,C,MORTGAGE,5e4,35,0-15,11-13.5
0,12000,B,RENT,8e4,24,0-15,8-11
0,10000,B,RENT,45e3,29,0-15,11-13.5
0,8000,A,RENT,78e3,31,0-15,0-8
0,14125,B,RENT,33e3,25,0-15,8-11
0,14000,B,RENT,62800.0,24,0-15,11-13.5
0,4000,E,MORTGAGE,8e4,25,15-30,13.5+
1,4000,B,RENT,25e3,22,0-15,11-13.5
0,10500,A,MORTGAGE,65e3,23,0-15,0-8
0,5500,A,OWN,59e3,34,15-30,0-8
0,7350,B,RENT,33e3,24,0-15,11-13.5
1,10000,B,RENT,39e3,22,0-15,11-13.5
0,12000,A,RENT,42e3,32,0-15,0-8
0,4500,A,MORTGAGE,50700.0,24,15-30,8-11
0,18000,B,OWN,75e3,29,0-15,11-13.5
0,12000,C,RENT,4e4,24,0-15,11-13.5
0,10000,C,MORTGAGE,5e4,25,0-15,11-13.5
0,6000,A,MORTGAGE,8e4,25,0-15,0-8
0,12000,B,RENT,4e4,27,0-15,11-13.5
1,12000,A,RENT,8e4,30,0-15,8-11
0,7000,B,RENT,75e3,29,0-15,11-13.5
0,1400,A,RENT,28800.0,29,0-15,0-8
0,3200,B,RENT,61200.0,26,0-15,8-11
0,8000,A,RENT,4e4,22,0-15,0-8
0,5000,A,MORTGAGE,54e3,22,0-15,0-8
0,1800,A,RENT,18e3,21,15-30,0-8
0,35000,A,RENT,85e3,37,0-15,8-11
0,18000,A,RENT,78e3,34,0-15,8-11
1,14000,A,OWN,45600.0,23,0-15,0-8
0,5000,B,RENT,7e4,38,0-15,11-13.5
0,8000,C,RENT,7e4,25,0-15,13.5+
0,10000,A,MORTGAGE,8e4,24,0-15,Missing
0,10000,A,RENT,5e4,23,0-15,0-8
0,12000,B,MORTGAGE,35e3,23,0-15,11-13.5
0,23200,A,MORTGAGE,65e3,31,0-15,0-8
0,4800,C,MORTGAGE,75e3,25,15-30,13.5+
0,7300,B,RENT,35e3,29,0-15,11-13.5
0,10400,B,RENT,4e4,25,0-15,8-11
0,6600,B,MORTGAGE,1e5,24,0-15,8-11
0,12000,A,OWN,4e4,21,0-15,8-11
0,13250,D,RENT,52e3,29,0-15,13.5+
0,12000,B,RENT,92500.0,26,0-15,11-13.5
0,25000,B,RENT,61e3,28,0-15,8-11
0,6000,B,RENT,36e3,25,15-30,Missing
0,12000,A,MORTGAGE,68e3,23,15-30,0-8
0,14400,B,RENT,8e4,22,0-15,11-13.5
0,10000,B,RENT,43e3,27,0-15,11-13.5
0,8000,B,RENT,15e4,28,0-15,11-13.5
1,8000,D,RENT,5e4,21,0-15,13.5+
0,13250,B,OWN,35e3,37,0-15,11-13.5
0,14000,C,RENT,8e4,34,0-15,13.5+
0,10000,D,RENT,4e4,38,0-15,13.5+
0,4000,A,RENT,55e3,45,0-15,0-8
0,13000,B,RENT,11e4,40,0-15,8-11
0,28000,B,RENT,1e5,25,0-15,11-13.5
0,10000,C,RENT,62e3,23,0-15,11-13.5
0,20000,A,RENT,45e3,22,0-15,0-8
0,18000,B,RENT,11e4,27,0-15,8-11
0,10000,B,RENT,33e3,26,0-15,11-13.5
0,4200,A,RENT,61e3,23,0-15,0-8
0,24000,D,RENT,50964.0,21,0-15,13.5+
0,4475,C,RENT,43680.0,28,0-15,13.5+
0,12000,B,RENT,50700.0,29,0-15,11-13.5
1,5000,B,RENT,3e4,26,0-15,11-13.5
0,3000,A,RENT,5e4,25,0-15,0-8
1,12000,B,RENT,55e3,45,15-30,8-11
0,20000,C,MORTGAGE,5e4,25,0-15,13.5+
0,10000,C,RENT,84e3,25,0-15,Missing
0,15000,B,OWN,155e3,32,0-15,11-13.5
0,12000,A,MORTGAGE,62e3,26,0-15,0-8
0,6300,B,RENT,3e4,21,0-15,11-13.5
1,10000,B,RENT,32e3,42,0-15,11-13.5
1,24000,A,MORTGAGE,116400.0,32,15-30,8-11
0,14400,B,MORTGAGE,4e4,22,0-15,11-13.5
0,6000,C,RENT,34e3,32,0-15,13.5+
0,22000,C,MORTGAGE,73e3,22,0-15,13.5+
1,12000,B,RENT,57200.0,28,15-30,Missing
0,16000,D,MORTGAGE,114e3,33,0-15,13.5+
0,10000,B,MORTGAGE,9e4,29,0-15,8-11
1,10000,B,RENT,35e3,27,0-15,11-13.5
0,3500,C,RENT,56e3,23,0-15,Missing
0,9600,B,RENT,35e3,25,0-15,8-11
0,9875,A,MORTGAGE,4e4,22,0-15,0-8
0,4800,A,RENT,48e3,23,0-15,0-8
0,7800,A,OWN,85e3,30,0-15,0-8
0,20000,C,MORTGAGE,7e4,26,0-15,13.5+
1,9750,A,RENT,35e3,27,0-15,0-8
0,5000,A,MORTGAGE,3e4,25,0-15,0-8
0,9000,C,RENT,45e3,28,0-15,13.5+
0,7200,A,RENT,55e3,25,0-15,0-8
0,25000,C,OWN,82e3,24,0-15,13.5+
0,10000,C,RENT,53e3,33,0-15,13.5+
1,8875,B,MORTGAGE,35360.0,25,0-15,11-13.5
0,15550,B,RENT,54e3,23,0-15,11-13.5
0,7500,B,RENT,65e3,29,0-15,11-13.5
0,8875,A,OWN,28800.0,22,0-15,8-11
0,4500,D,RENT,42e3,21,0-15,13.5+
0,5800,B,RENT,36e3,27,0-15,11-13.5
0,10000,B,RENT,4e4,21,0-15,11-13.5
0,10000,B,RENT,5e4,35,0-15,8-11
0,14000,B,RENT,52e3,39,0-15,11-13.5
1,12000,A,RENT,32e3,29,0-15,Missing
0,24000,A,OWN,75e3,23,0-15,0-8
0,14000,C,RENT,8e4,23,0-15,13.5+
0,12000,A,MORTGAGE,40246.0,38,0-15,8-11
1,8050,B,RENT,36e3,22,0-15,11-13.5
0,5600,B,RENT,6e4,22,0-15,8-11
0,7500,B,RENT,31200.0,22,0-15,8-11
0,7000,B,RENT,9e4,35,0-15,11-13.5
0,5400,A,RENT,4e4,29,0-15,0-8
0,16000,B,RENT,9e4,27,0-15,11-13.5
0,9800,D,RENT,67e3,39,0-15,13.5+
0,5000,A,RENT,276e3,28,0-15,0-8
0,9900,B,RENT,26400.0,22,0-15,11-13.5
0,4000,B,RENT,24e3,25,Missing,11-13.5
0,15000,B,MORTGAGE,68400.0,31,0-15,11-13.5
0,6250,C,RENT,29120.0,25,0-15,13.5+
0,6400,D,RENT,29120.0,25,0-15,13.5+
0,12000,C,MORTGAGE,54e3,32,0-15,13.5+
0,15000,A,MORTGAGE,3e4,28,0-15,Missing
0,6500,C,MORTGAGE,3e4,25,0-15,13.5+
0,8000,C,RENT,5e4,24,15-30,13.5+
0,15000,C,MORTGAGE,100500.0,27,0-15,13.5+
0,10200,C,RENT,4e4,26,0-15,Missing
0,9000,B,MORTGAGE,47e3,28,0-15,11-13.5
0,6500,D,MORTGAGE,68e3,25,0-15,13.5+
0,2000,A,RENT,39600.0,27,0-15,0-8
0,8000,C,OWN,3e4,22,0-15,11-13.5
0,8875,A,RENT,3e4,25,0-15,0-8
1,1500,E,RENT,17e3,21,0-15,13.5+
0,8000,B,RENT,42e3,31,0-15,11-13.5
0,6500,B,RENT,42e3,20,0-15,11-13.5
0,9600,C,MORTGAGE,27e3,21,0-15,11-13.5
0,10000,A,MORTGAGE,46e3,40,0-15,0-8
0,15000,B,MORTGAGE,8e4,23,15-30,11-13.5
0,9000,A,MORTGAGE,45e3,25,0-15,0-8
0,10000,A,RENT,72500.0,36,0-15,0-8
1,1000,C,RENT,18408.0,51,Missing,13.5+
0,14000,A,RENT,3e4,24,0-15,0-8
1,8500,C,RENT,5e4,25,0-15,13.5+
0,4500,C,MORTGAGE,65e3,28,0-15,13.5+
0,3000,A,MORTGAGE,65e3,27,15-30,0-8
0,10000,B,MORTGAGE,12e4,25,0-15,8-11
0,7200,C,RENT,54990.0,25,0-15,13.5+
0,23000,A,MORTGAGE,137e3,50,0-15,0-8
0,7000,A,RENT,46e3,34,0-15,8-11
0,21000,B,MORTGAGE,135e3,24,0-15,11-13.5
0,8250,A,MORTGAGE,31500.0,25,Missing,0-8
0,13000,B,RENT,65e3,31,0-15,Missing
0,18000,A,MORTGAGE,78e3,29,0-15,0-8
0,7200,A,MORTGAGE,6e4,31,0-15,0-8
0,16500,A,RENT,48e3,22,0-15,8-11
0,8125,A,RENT,25e3,21,0-15,0-8
0,18800,A,MORTGAGE,82e3,35,0-15,0-8
0,26800,E,MORTGAGE,82e3,42,0-15,Missing
0,19200,A,MORTGAGE,42e3,24,0-15,0-8
0,4000,B,MORTGAGE,38e3,23,0-15,11-13.5
0,4000,D,RENT,35e3,25,0-15,13.5+
0,12000,B,OWN,33e3,22,0-15,8-11
0,2625,B,MORTGAGE,52800.0,23,0-15,11-13.5
0,7000,B,RENT,73882.0,39,15-30,8-11
0,11300,B,MORTGAGE,36e3,23,0-15,11-13.5
0,4000,B,MORTGAGE,13e4,30,15-30,Missing
0,8000,A,MORTGAGE,57200.0,21,15-30,0-8
1,14400,D,RENT,51871.0,24,0-15,Missing
0,4375,B,OWN,15e3,28,0-15,11-13.5
0,4100,A,MORTGAGE,70197.0,32,0-15,0-8
0,6000,A,RENT,47e3,24,0-15,8-11
0,4000,A,MORTGAGE,12e4,44,0-15,Missing
1,3000,B,MORTGAGE,86004.0,25,0-15,8-11
0,5400,B,MORTGAGE,75e3,23,0-15,11-13.5
1,15000,D,RENT,11e4,60,0-15,13.5+
0,10400,B,RENT,44e3,24,0-15,11-13.5
0,11500,B,RENT,38500.0,27,0-15,11-13.5
0,10000,A,RENT,75e3,24,0-15,0-8
0,3600,A,RENT,55e3,25,0-15,8-11
1,10000,D,RENT,68e3,32,0-15,13.5+
0,15000,D,MORTGAGE,66e3,24,15-30,13.5+
0,8000,B,RENT,85e3,28,0-15,11-13.5
1,16000,A,RENT,51e3,51,0-15,0-8
0,8000,B,RENT,55e3,23,0-15,8-11
0,7200,A,MORTGAGE,47e3,41,15-30,0-8
0,12000,A,RENT,86e3,27,0-15,0-8
1,2200,C,OWN,48e3,24,0-15,13.5+
0,6000,A,MORTGAGE,5e4,24,0-15,0-8
0,14400,C,RENT,42996.0,22,0-15,Missing
0,14050,A,MORTGAGE,12e4,33,0-15,8-11
0,6000,C,OWN,62691.0,38,15-30,11-13.5
0,10525,A,RENT,49668.0,29,0-15,0-8
0,7200,C,RENT,3e4,31,0-15,13.5+
0,12000,C,MORTGAGE,4e4,26,0-15,11-13.5
0,12000,B,MORTGAGE,1e5,39,0-15,Missing
0,3000,B,RENT,56312.0,33,0-15,11-13.5
0,9500,D,RENT,54011.0,26,0-15,13.5+
0,19775,B,RENT,49110.32,30,0-15,11-13.5
0,30000,B,RENT,8e4,29,0-15,11-13.5
0,16000,B,MORTGAGE,55e3,30,0-15,Missing
0,14500,C,RENT,9e4,33,0-15,13.5+
0,4150,B,RENT,1e5,23,0-15,8-11
0,24000,D,RENT,7e4,53,0-15,13.5+
1,21250,B,RENT,37e3,22,0-15,11-13.5
0,10000,C,OWN,75e3,30,30-45,13.5+
0,4000,C,RENT,39e3,30,0-15,13.5+
0,15000,B,RENT,6e4,22,0-15,11-13.5
0,3600,C,RENT,4e4,23,0-15,13.5+
1,15000,C,RENT,6e4,23,0-15,13.5+
0,12375,A,RENT,42e3,26,0-15,0-8
1,4000,B,RENT,3e4,27,0-15,11-13.5
0,13000,B,MORTGAGE,5e4,22,15-30,8-11
0,5000,A,MORTGAGE,39396.0,22,0-15,0-8
0,5000,C,OWN,98e3,31,0-15,13.5+
0,26000,B,RENT,62500.0,23,15-30,11-13.5
0,8000,A,RENT,32400.0,22,15-30,0-8
1,1700,A,MORTGAGE,37800.0,34,Missing,Missing
0,16000,B,RENT,5e4,35,0-15,8-11
1,12000,C,RENT,54400.0,22,0-15,13.5+
0,7000,B,MORTGAGE,72800.0,27,0-15,Missing
1,13000,D,RENT,28e3,26,0-15,13.5+
0,18000,C,MORTGAGE,96e3,30,0-15,11-13.5
0,10000,D,RENT,83200.0,22,0-15,13.5+
1,11200,B,RENT,75e3,30,0-15,11-13.5
0,7000,B,RENT,52e3,23,0-15,8-11
0,8000,A,RENT,57600.0,41,0-15,0-8
0,12000,D,RENT,95e3,23,0-15,13.5+
0,22000,C,RENT,58e3,25,0-15,13.5+
0,6200,B,MORTGAGE,24e3,36,15-30,8-11
0,15900,B,MORTGAGE,58e3,29,0-15,Missing
0,5000,A,MORTGAGE,7e4,26,Missing,Missing
0,16000,A,MORTGAGE,104e3,33,0-15,Missing
0,5000,B,RENT,35e3,24,0-15,11-13.5
0,3150,C,RENT,53e3,36,0-15,13.5+
1,12000,C,RENT,28e3,23,0-15,13.5+
1,28000,A,MORTGAGE,118e3,24,0-15,0-8
0,5000,B,RENT,4e4,23,0-15,11-13.5
0,3000,B,MORTGAGE,42e3,25,Missing,8-11
1,3000,A,MORTGAGE,65e3,27,0-15,0-8
0,8400,A,RENT,25e3,22,0-15,0-8
0,7000,B,MORTGAGE,36e3,30,0-15,8-11
0,2000,B,MORTGAGE,231252.0,27,0-15,8-11
1,8575,D,MORTGAGE,32e3,28,Missing,13.5+
0,10000,A,RENT,66e3,27,0-15,0-8
0,25000,E,MORTGAGE,92e3,29,0-15,13.5+
0,8000,B,RENT,7e4,24,0-15,11-13.5
0,25000,B,MORTGAGE,76896.0,23,0-15,11-13.5
0,2000,B,RENT,24e3,24,15-30,Missing
0,16800,C,RENT,6e4,22,0-15,13.5+
0,8000,A,MORTGAGE,12e4,32,0-15,8-11
1,11000,A,MORTGAGE,8e4,26,0-15,0-8
1,5000,D,MORTGAGE,85e3,33,0-15,13.5+
0,18000,D,OWN,14e4,28,0-15,13.5+
1,10000,B,OWN,36e3,30,0-15,11-13.5
0,5000,B,RENT,7e4,34,0-15,8-11
0,10000,D,RENT,51360.0,22,0-15,Missing
0,25000,B,RENT,163e3,29,0-15,8-11
0,2400,B,MORTGAGE,59393.0,24,0-15,11-13.5
1,3000,D,MORTGAGE,65e3,25,0-15,13.5+
1,7700,D,RENT,29772.96,23,0-15,13.5+
0,2400,C,OWN,12996.0,23,0-15,11-13.5
0,5000,B,OWN,44475.0,24,0-15,8-11
0,14000,D,MORTGAGE,88e3,31,0-15,13.5+
0,2400,B,MORTGAGE,36e3,30,0-15,8-11
0,1800,B,RENT,117e3,27,0-15,11-13.5
1,22200,E,RENT,16e4,30,0-15,13.5+
1,13000,A,RENT,28e3,25,0-15,0-8
0,8000,B,RENT,48e3,23,0-15,Missing
1,3600,B,MORTGAGE,6e4,26,0-15,11-13.5
0,9400,B,RENT,45500.0,26,0-15,8-11
0,9600,C,MORTGAGE,156e3,26,0-15,13.5+
0,17000,B,RENT,4e4,22,0-15,8-11
0,10800,C,MORTGAGE,11e4,42,0-15,13.5+
0,6000,A,RENT,59400.0,24,15-30,0-8
0,35000,A,MORTGAGE,106e3,22,15-30,Missing
0,10000,B,RENT,36e3,26,0-15,Missing
0,5000,B,RENT,25e3,26,0-15,11-13.5
1,7100,C,RENT,33e3,25,0-15,13.5+
0,12000,D,MORTGAGE,93e3,25,0-15,13.5+
0,5825,B,RENT,5e4,23,0-15,8-11
1,22250,B,RENT,41e3,23,0-15,11-13.5
0,6000,B,RENT,3e4,22,0-15,11-13.5
1,7650,B,RENT,57e3,23,0-15,11-13.5
0,13200,A,MORTGAGE,62500.0,21,0-15,0-8
0,12000,A,RENT,6e4,21,0-15,0-8
0,15000,A,RENT,6e4,26,0-15,0-8
0,12800,B,MORTGAGE,99600.0,25,0-15,11-13.5
0,27575,B,MORTGAGE,54e3,27,0-15,Missing
0,7000,B,RENT,49e3,31,0-15,11-13.5
0,10000,C,RENT,44160.0,23,0-15,13.5+
0,14125,A,RENT,32e3,23,0-15,0-8
0,12000,A,MORTGAGE,94500.0,35,0-15,0-8
0,9575,A,RENT,19498.0,27,0-15,0-8
1,12000,C,MORTGAGE,88e3,31,0-15,13.5+
0,10000,B,RENT,45e3,25,0-15,11-13.5
0,10000,C,RENT,37500.0,25,0-15,13.5+
0,24000,B,RENT,12e4,22,0-15,8-11
0,14575,B,RENT,35e3,26,0-15,8-11
0,9000,A,MORTGAGE,5e4,28,0-15,Missing
1,10000,C,RENT,3e4,46,0-15,11-13.5
0,7125,D,RENT,25279.67,23,0-15,13.5+
0,13000,C,RENT,65e3,24,0-15,11-13.5
1,21600,D,MORTGAGE,58600.0,27,0-15,13.5+
0,7000,B,RENT,85e3,26,0-15,11-13.5
0,7000,A,RENT,45e3,26,0-15,8-11
0,3600,D,MORTGAGE,44004.0,22,0-15,13.5+
0,3500,B,MORTGAGE,84996.0,36,0-15,11-13.5
0,5000,A,RENT,33e3,29,0-15,8-11
0,10000,B,MORTGAGE,6e4,23,0-15,11-13.5
0,4500,C,OWN,19200.0,36,0-15,11-13.5
0,12000,B,RENT,62e3,30,0-15,11-13.5
0,10700,B,RENT,68e3,26,0-15,11-13.5
0,6000,B,RENT,3e4,22,0-15,8-11
0,20000,A,RENT,5e4,54,0-15,0-8
0,3600,C,RENT,4e4,24,0-15,11-13.5
0,6000,A,RENT,83954.0,23,0-15,Missing
0,10375,C,RENT,35e3,27,0-15,13.5+
0,25000,A,RENT,6e4,31,0-15,8-11
0,10000,D,RENT,4e4,27,0-15,Missing
0,5600,A,OWN,41100.0,24,Missing,0-8
0,6000,B,RENT,92e3,23,0-15,11-13.5
0,8000,A,RENT,75e3,23,0-15,0-8
0,10000,B,MORTGAGE,45e3,23,0-15,11-13.5
0,11000,A,RENT,48e3,25,0-15,0-8
0,5000,B,MORTGAGE,11e4,29,0-15,8-11
0,6500,B,RENT,30600.0,41,0-15,8-11
0,12000,B,RENT,45e3,23,0-15,11-13.5
0,21000,A,MORTGAGE,150500.0,39,15-30,Missing
